requirement_id,design_ref,task_ref,code_ref,test_ref,runtime_evidence,runtime_required
C-01,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-06,infra/main.tf,GATE:architecture-check,PENDING:deployment-inventory,yes
C-02,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-01,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:gateway-audit,yes
C-03,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-06,infra/main.tf,GATE:architecture-check,PENDING:deployment-audit,yes
C-04,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-05,evals/run_evals.py,evals/cases.json,PENDING:domain-evaluation-report,yes
C-05,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-01,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:residency-evidence,yes
P-01,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-04,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:telemetry-pipeline,yes
P-02,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-03,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:gateway-audit,yes
P-03,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-03,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:prompt-registry,yes
P-04,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-06,N/A:no-new-runtime-dependency,GATE:policy-check,N/A:no-new-runtime-dependency,no
D-01,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-07,N/A:approval-workflow-boundary,GATE:approval-receipts,PENDING:production-approval,yes
PR-01,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-03,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,N/A:implementation-language,no
PR-02,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-03,src/northstar_underwriter/retrieval.py,tests/test_existing_boundaries.py,PENDING:retrieval-integration,yes
PR-03,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-06,src/northstar_underwriter/auth.py,tests/test_existing_boundaries.py,PENDING:identity-integration,yes
PR-04,changes/policy-document-qa/design.md,changes/policy-document-qa/tasks.md#T-02,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:contract-monitor,yes
F-01,changes/policy-document-qa/requirements.md,changes/policy-document-qa/tasks.md#T-03,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:feature-usage,no
F-02,changes/policy-document-qa/requirements.md,changes/policy-document-qa/tasks.md#T-05,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:citation-rate,yes
F-03,changes/policy-document-qa/requirements.md,changes/policy-document-qa/tasks.md#T-05,changes/governed/src/northstar_underwriter/policy_qa.py,tests/test_policy_qa.py,PENDING:abstention-rate,yes
