source_id,target_id,relationship,target_type
REQ-BR-001,INV-BR-002,reinforced_by,invariant
REQ-BR-001,PROP-BR-002,evidenced_by,property_test
REQ-BR-002,CONTRACT-BR-001,constrained_by,contract
REQ-BR-002,CONTRACT-TEST-BR-001,evidenced_by,test
REQ-BR-003,INT-BR-003,evidenced_by,integration_test
REQ-BR-004,STATE-TEST-BR-004,evidenced_by,state_test
REQ-BR-005,DT-BR-001,elaborated_by,decision_table
REQ-BR-005,BR-005-A,illustrated_by,scenario
REQ-BR-005,TEST-BR-005-A,evidenced_by,test
REQ-BR-006,POLICY-TEST-BR-006,evidenced_by,policy_test
REQ-BR-007,INT-BR-007,evidenced_by,integration_test
REQ-BR-008,DT-BR-001,elaborated_by,decision_table
REQ-BR-008,DT-COVERAGE-BR-001,evidenced_by,coverage_test
REQ-BR-020,DOMAIN-TEST-BR-020,evidenced_by,domain_test
REQ-BR-021,CASE-05,evidenced_by,evaluation_case
REQ-BR-021,STATE-TEST-BR-021,evidenced_by,state_test
REQ-BR-030,CONTRACT-BR-001,constrained_by,contract
REQ-BR-030,CONTRACT-TEST-BR-030,evidenced_by,contract_test
REQ-BR-031,TRUST-BOUNDARY-TEST-BR-031,evidenced_by,trust_boundary_test
REQ-BR-032,CASE-06,evidenced_by,evaluation_case
REQ-BR-033,CASE-07,evidenced_by,evaluation_case
REQ-BR-034,CASE-10,evidenced_by,evaluation_case
REQ-BR-035,ORDER-TEST-BR-035,evidenced_by,ordering_test
REQ-BR-036,STALE-TEST-BR-036,evidenced_by,staleness_test
REQ-BR-037,APPROVAL-TEST-BR-037,evidenced_by,approval_test
REQ-BR-037,STATE-TEST-BR-003,evidenced_by,state_test
INV-BR-001,AUTHZ-PROP-BR-001,evidenced_by,property_test
INV-BR-002,PROP-BR-002,evidenced_by,property_test
INV-BR-003,PROVENANCE-PROP-BR-003,evidenced_by,property_test
INV-BR-004,IDEMPOTENCY-PROP-BR-004,evidenced_by,property_test
STATE-BR-001,SM-BR-001,elaborated_by,state_machine
STATE-BR-001,STATE-TEST-BR-001,evidenced_by,state_test
STATE-BR-002,SM-BR-001,elaborated_by,state_machine
STATE-BR-002,STATE-TEST-BR-002,evidenced_by,state_test
STATE-BR-003,SM-BR-001,elaborated_by,state_machine
STATE-BR-003,STATE-TEST-BR-003,evidenced_by,state_test
CONTRACT-BR-001,ExtractionAdapter,implemented_by,component
CONTRACT-BR-001,API-SCHEMA-BR,propagates_to,schema
API-SCHEMA-BR,API-CLIENT-BR,propagates_to,consumer
