source_id,target_id,relationship,target_type
REQ-BR-001,AC-BR-005-A,verified_by,acceptance_criterion
REQ-BR-001,AC-STATE-002,verified_by,acceptance_criterion
REQ-BR-003,AC-BR-003-B,verified_by,acceptance_criterion
REQ-BR-005,AC-BR-005-A,verified_by,acceptance_criterion
REQ-BR-020,AC-BR-020-B1,verified_by,acceptance_criterion
REQ-BR-020,AC-BR-020-F1,verified_by,acceptance_criterion
REQ-BR-021,AC-BR-021-A,verified_by,acceptance_criterion
REQ-BR-030,AC-BR-030-A,verified_by,acceptance_criterion
REQ-BR-031,AC-BR-031-A,verified_by,acceptance_criterion
REQ-BR-036,AC-BR-036-A,verified_by,acceptance_criterion
REQ-BR-035,AC-BR-035-A,verified_by,acceptance_criterion
REQ-BR-037,AC-BR-037-A,verified_by,acceptance_criterion
REQ-BR-037,AC-STATE-002,verified_by,acceptance_criterion
SEC-BR-001,AC-SEC-001,verified_by,acceptance_criterion
OBS-BR-001,AC-OBS-001,verified_by,acceptance_criterion
COMPAT-BR-001,AC-COMPAT-001,verified_by,acceptance_criterion
AC-BR-003-B,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-005-A,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-020-B1,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-020-F1,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-021-A,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-030-A,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-031-A,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-036-A,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-035-A,EVID-AC-SUITE,evidenced_by,evidence
AC-BR-037-A,EVID-AC-SUITE,evidenced_by,evidence
AC-STATE-002,EVID-STATE-GRAPH,evidenced_by,evidence
AC-SEC-001,EVID-STATIC-TOOLS,evidenced_by,evidence
AC-OBS-001,EVID-AC-SUITE,evidenced_by,evidence
AC-COMPAT-001,EVID-CONTRACT-VERSION,evidenced_by,evidence
INV-BR-001,EVID-PROP-AUTH,evidenced_by,evidence
INV-BR-002,EVID-PROP-CONFLICT,evidenced_by,evidence
INV-BR-003,EVID-PROP-PROVENANCE,evidenced_by,evidence
INV-BR-003,EVID-CONTRACT-VERSION,supported_by,evidence
INV-BR-004,EVID-AC-SUITE,evidenced_by,evidence
INV-BR-004,EVID-PROP-IDEMPOTENCY,evidenced_by,evidence
INV-BR-005,EVID-AC-SUITE,evidenced_by,evidence
FRAME-BR-001,EVID-PROP-FRAME,evidenced_by,evidence
REQ-BR-005,EVID-DT-COVERAGE,evidenced_by,evidence
REQ-BR-001,EVID-MUTATION,evidenced_by,evidence
REQ-BR-031,EVID-EVAL-BR-001,evidenced_by,evidence
SEC-BR-001,EVID-HUMAN-RUBRIC,planned_evidence,evidence
INV-BR-002,EVID-RUNTIME-BR-001,monitored_by,evidence
